Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
49.80907774,-0.02878969,-0.02997574,1.021377,2.006148,-4.877777,2.023729
49.81915712,-0.03122914,-0.02227951,1.018506,1.636679,-3.682793,0.3149022
49.82923651,-0.04377536,-0.02909437,1.009715,0.7130053,-2.308562,-1.638042
49.83931637,-0.05250727,-0.00690527,1.011803,0.89774,-2.368311,-4.506429
49.84939528,-0.04330133,-0.03299101,1.003365,0.7130053,-0.8148321,-7.069669
49.85947466,-0.05778212,-0.0310908,1.000468,0.5898488,1.814132,-10.48732
49.86955357,-0.06354509,-0.03880215,1.001885,0.158801,3.845605,-12.80644
49.87963295,-0.05828793,-0.02629263,0.9966044,-1.503812,2.590872,-15.12556
49.88971233,-0.07615113,-0.01907517,0.9961752,-1.56539,-0.3368386,-20.19102
49.89979124,-0.05825073,-0.02330315,1.012194,-2.181172,-1.71107,-27.08735
49.90987063,-0.07429478,0.02829192,1.013493,-5.136928,-1.591572,-35.69251
49.91995001,-0.06701147,0.004642985,1.009451,-7.353745,-1.890318,-45.57929
49.92750979,-0.07770678,0.03257568,1.004762,-8.893201,-2.726806,-52.53666
49.93758917,-0.09889812,0.04910637,1.02921,-13.94262,-4.399783,-68.46536
49.94766808,-0.09362684,0.06649539,1.033204,-18.25309,-2.906054,-81.83083
49.95774746,-0.08675189,0.01245523,1.027518,-18.49941,2.232376,-93.79261
49.96782637,-0.1279699,0.06576265,0.9967299,-15.42049,5.757578,-97.63747
49.97790575,-0.128827,0.03544305,1.006765,-14.06577,6.41482,-104.6559
49.98798513,-0.1273293,0.0117928,1.003214,-10.74055,3.785855,-107.4022
49.99806404,-0.1232558,-0.05514435,1.01789,-12.15685,-0.9940796,-106.8529
50.00814343,-0.1139847,-0.09563766,1.019097,-9.940031,-7.207995,-106.2426
50.01822281,-0.1033843,-0.1150458,0.9985333,-5.875867,-11.09169,-106.5478
50.02830172,-0.1058386,-0.1321124,0.9682614,-2.735376,-15.15464,-113.2
50.0383811,-0.09474819,-0.1709002,0.9329811,-2.181172,-13.66091,-109.6603
50.04846096,-0.1011722,-0.158145,0.8907279,0.7745835,-11.45019,-108.8669
50.05854034,-0.09926233,-0.1698225,0.873624,3.545604,-10.2552,-109.111
50.06861925,-0.09430566,-0.2209316,0.8742833,6.87083,-8.522478,-105.3272
50.07869864,-0.1040468,-0.1644104,0.8916653,9.210803,-5.475268,-105.6934
50.08877802,-0.09480074,-0.1782869,0.9081189,9.210803,1.21664,-106.975
50.09885693,-0.09322597,-0.1746161,0.9558282,9.33396,8.625539,-105.6934
50.10893631,-0.1053024,-0.1159937,1.001449,10.50395,12.44949,-105.0831
50.11901522,-0.08642918,-0.1289315,1.012548,9.703429,15.91494,-104.6559
50.1290946,-0.09846447,-0.1114385,1.035534,8.779756,15.49669,-103.6794
50.13917398,-0.08738077,-0.07119938,1.06886,7.240299,14.24196,-104.1066
50.14925289,-0.07625432,-0.06723712,1.084447,7.609768,11.97149,-112.8338
50.15933228,-0.05790903,-0.07930373,1.080467,8.102395,10.41801,-118.6316
50.16941166,-0.07490737,-0.05678245,1.059205,5.08506,8.745037,-120.4015
50.17949152,-0.05047772,-0.0323882,1.023812,6.50136,4.383348,-128.0302
50.18957043,-0.04525793,-0.04953897,0.9789349,7.91766,1.097142,-131.3868
50.19964981,-0.03085773,-0.04627838,0.9585059,7.609768,-1.412324,-133.95
50.20972919,-0.001880952,-0.05053107,0.9691634,7.363455,-2.189063,-134.9875
