time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.258116,-0.02783203,0.0222168,0.8093262,0.058940517,-0.196392389,-0.084449519
1.267418,-0.03198242,0.01513672,0.8237305,-0.070830483,-0.165858389,0.014787081
1.2768,-0.02758789,0.02636719,0.8132324,0.066573517,0.032614611,0.007153481
1.286195,-0.02758789,0.02539063,0.8183594,0.058940517,0.086049611,-0.176052619
1.295507,-0.02954102,0.0222168,0.8198242,-0.002128483,0.124217611,-0.015747319
1.304836,-0.0300293,0.02490234,0.8095703,0.013138517,-0.043721389,0.144558081
1.314226,-0.03393555,0.02368164,0.8178711,0.013138517,0.024981611,-0.008113719
1.335222,-0.03320313,0.02246094,0.8220215,0.097108517,0.238721711,0.129290881
1.344837,-0.03466797,0.02978516,0.8161621,0.020772517,-0.158225389,0.098756481
1.354225,-0.03442383,0.02709961,0.8132324,0.028405517,-0.036087389,-0.038648019
1.363538,-0.03613281,0.02197266,0.8115234,0.120008517,0.009713611,-0.023380919
1.372897,-0.03076172,0.02270508,0.817627,0.005505517,0.024981611,-0.168419019
1.382253,-0.02661133,0.02392578,0.822998,-0.078464483,0.108950611,-0.092083219
1.391509,-0.03173828,0.02441406,0.8095703,0.112375517,0.131851611,-0.053915219
1.400832,-0.03344727,0.01782227,0.8234863,0.013138517,0.055515611,-0.008113719
1.410184,-0.0300293,0.02441406,0.8066406,-0.131899483,0.024981611,0.106390081
1.419499,-0.03662109,0.02368164,0.8190918,-0.070830483,0.261622411,0.205626781
1.440696,-0.03515625,0.02587891,0.8146973,-0.032662483,0.055515611,0.037687881
1.450255,-0.03540039,0.02612305,0.831543,-0.147166483,0.162385811,-0.229487719
1.459555,-0.03588867,0.02246094,0.8181152,0.112375517,0.101316611,0.037687881
1.468994,-0.02758789,0.02514648,0.8120117,-0.124265483,-0.036087389,0.030054281
1.478349,-0.02929688,0.02172852,0.8271484,-0.032662483,-0.036087389,-0.031014419
1.487653,-0.02880859,0.02587891,0.8166504,-0.101365483,-0.005553389,0.136924481
1.496964,-0.0300293,0.01953125,0.8215332,0.058940517,0.185286611,-0.099716719
1.50629,-0.03295898,0.01977539,0.8190918,-0.055563483,-0.120057389,0.129290881
1.515539,-0.02807617,0.02319336,0.8217773,0.066573517,0.231088111,-0.099716719
1.524893,-0.03125,0.02319336,0.8103027,0.051306517,0.147118611,-0.153151919
1.546246,-0.02685547,0.02539063,0.8120117,0.249780017,-0.058988389,0.075855781
1.555816,-0.03369141,0.03051758,0.8181152,0.005505517,-0.135324389,-0.008113719
1.565194,-0.03393555,0.0234375,0.8203125,0.074207517,-0.097156389,0.052954981
1.57457,-0.03540039,0.02026367,0.8251953,-0.101365483,0.093683611,0.068222181
1.583943,-0.02905273,0.02197266,0.8217773,0.142909517,-0.089522389,0.075855781
1.593266,-0.03417969,0.02661133,0.8225098,-0.032662483,0.192920111,-0.137884719
1.602603,-0.02880859,0.02368164,0.8120117,0.097108517,0.024981611,0.014787081
1.611924,-0.03540039,0.02270508,0.822998,-0.086097483,0.002080611,0.060588581
1.62128,-0.03149414,0.02563477,0.8137207,-0.070830483,0.093683611,0.175092381
1.630609,-0.03051758,0.03198242,0.8166504,-0.063197483,0.040248611,-0.252388519
1.652103,-0.03100586,0.02392578,0.8239746,0.074207517,0.108950611,0.037687881
1.661593,-0.02978516,0.02392578,0.8220215,0.203978517,-0.043721389,0.007153481
1.671025,-0.03540039,0.02172852,0.8251953,0.226879217,-0.036087389,0.129290881
1.680406,-0.03173828,0.02075195,0.8190918,-0.055563483,-0.051354389,0.052954981
1.689728,-0.03515625,0.02124023,0.8161621,0.219245617,0.047881611,0.014787081
1.69907,-0.03051758,0.02978516,0.8208008,-0.025029483,0.070782611,-0.031014419
1.708362,-0.03198242,0.02563477,0.8137207,-0.093731483,-0.112423389,0.106390081
1.717682,-0.03515625,0.02758789,0.8181152,-0.070830483,-0.051354389,-0.130251019
1.727002,-0.03076172,0.02563477,0.8161621,-0.017395483,0.208187311,-0.031014419
1.736333,-0.0390625,0.02172852,0.8149414,-0.002128483,-0.051354389,-0.053915219
1.757973,-0.02514648,0.02612305,0.8251953,-0.025029483,-0.005553389,-0.023380919
1.767574,-0.03100586,0.02319336,0.8129883,-0.154800483,-0.135324389,-0.015747319
1.777005,-0.02587891,0.02050781,0.8183594,-0.070830483,-0.165858389,0.152191681
1.786419,-0.0300293,0.02661133,0.8200684,0.112375517,-0.142957389,-0.145518219
1.795745,-0.03100586,0.02490234,0.8129883,0.142909517,0.055515611,-0.130251019
1.805063,-0.03613281,0.02563477,0.8193359,-0.063197483,-0.043721389,0.091122981
1.814376,-0.03149414,0.02954102,0.8188477,0.188711317,0.002080611,-0.107350319
1.823678,-0.03979492,0.02929688,0.8217773,-0.078464483,-0.028454389,0.114023681
1.832999,-0.02929688,0.02636719,0.8205566,0.074207517,0.101316611,0.091122981
1.84237,-0.02709961,0.02416992,0.8212891,-0.002128483,0.086049611,0.136924481
