Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
46.92814982,0.011839193,0.05734782,1.006585233,-2.871040667,2.411487667,102.5505133
46.93814982,-0.052369793,0.080063873,0.996866033,-2.911691,2.035471333,102.6318133
46.94814982,-0.050253908,0.050423979,0.995705067,-2.860878,2.045634,103.94278
46.95814982,-0.022828774,0.041545806,1.000708467,-3.094617667,2.919618,112.18468
46.96814982,0.021035159,0.018366292,0.998421767,-3.460471667,3.570024667,127.8655667
46.97814982,0.014768883,0.068413296,0.991988467,-3.826325333,3.387098,139.3493
46.98814982,-0.010703124,0.069361783,0.9891668,-3.694211667,2.553764667,137.2049667
46.99814982,-0.024049477,0.02620179,0.990521133,-3.429983667,2.218398667,127.0322
47.00814982,-0.019492186,-0.027811482,1.001246433,-3.084455333,2.228561333,120.3452
47.01814982,-0.034384766,-0.026036578,1.000574567,-3.175918667,3.641163,125.0809667
47.02814982,-0.016725259,0.004624635,1.0024118,-3.541772667,4.555797,136.9509
47.03814982,-0.034222003,0.01330241,0.999322633,-3.968602,5.145227667,144.1765333
47.04814982,-0.03658203,0.014786174,0.988315067,-4.100716,4.118804667,139.0444333
47.05814982,-0.05472982,0.02049357,0.988052067,-3.826325667,4.637097667,123.4956333
47.06814982,-0.032268883,0.022577717,0.994865567,-3.53161,5.917585667,109.6846667
47.07814982,-0.013225913,0.030793457,1.010476667,-3.419821333,6.608642667,101.6765367
47.08814982,-0.019654947,0.03249878,1.007440133,-3.572260333,4.860675,104.82697
47.09814982,-0.00199544,0.060552763,1.002865133,-3.968601667,2.746853667,111.56477
47.10814982,0.000445967,0.062997423,0.995475133,-4.182016333,1.1005122,117.0119333
47.11814982,-0.018108723,0.052767728,0.995950233,-4.019414667,1.324089533,109.6846867
47.12814982,-0.045045573,0.0181722,0.996187567,-3.663723667,2.055796867,100.1623167
47.13814982,0.00622396,0.0257725,1.0065569,-3.328357667,3.021244,94.77613
47.14814982,0.06465495,0.071598103,0.9983562,-3.460471333,3.021244,97.70294333
47.15814982,0.05716797,0.06345764,0.9900097,-3.419821,2.167585333,99.60335
47.16814982,0.005247397,0.01263143,0.986633033,-3.216569,1.740756,96.65619667
47.17814982,-0.03682617,-0.01466044,1.0002535,-3.023479667,1.324089333,91.36149667
47.18814982,-0.022259113,-0.01328776,1.0016521,-2.799902667,1.252951333,83.98344667
47.19814982,-0.011354167,0.016961467,1.000329767,-2.881203333,1.110675,81.13791667
47.20814982,0.002968749,0.008647867,1.0017431,-2.820227667,1.070024333,81.42247
47.21814982,-0.006064451,0.0428007,1.011665667,-2.860878,0.826121833,87.27613
47.22814982,-0.069785157,0.04787333,1.021253,-2.799902667,0.927747833,87.32694333
47.23814982,-0.088177083,0.027572223,1.017732,-2.413724,1.3444145,80.24361
47.24814982,-0.072226563,0.00929077,1.009070467,-2.129171,1.700105667,68.45499333
47.25814982,-0.022259113,-0.011729533,0.999267467,-1.712504333,1.415552833,56.45296333
47.26814982,-0.02103841,-0.020966187,0.999256133,-1.4177888,0.866772467,44.63385667
